codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
10012,,M-20B,,,,,,,,,,,False,baja,True,,False
10013,,M-10B,"Conexión antitorceduras para manguera », k|v""-1i|sx"" (19 » 27 mm) 2",Conexión antitorceduras para manguera »,,,"k|v""-1i|sx"" (19 » 27 mm) 2",20,22,24,24,,True,alta,False,191,True
10021,,M-4B,"Conexión antitorceduras para manguera », k|ze-m|ze (10 » 16 mm) 4",Conexión antitorceduras para manguera »,,,k|ze-m|ze (10 » 16 mm) 4,35,38,42,42,,True,alta,False,191,True
10025,,JDTH-3/8X9,,,,,,,,,,,False,baja,True,,False
10026,,JDTH-1/2X10,,,,,,,,,,,False,baja,True,,False
10027,,JDTH-1/4X7,,,,,,,,,,,False,baja,True,,False
10031,,MINI-6B,"Conexión antitorceduras para manguera », i|t""-k|v"" (13 » 19 mm) 4",Conexión antitorceduras para manguera »,,,"i|t""-k|v"" (13 » 19 mm) 4",21,23,25,25,,True,alta,False,191,True
10032,,MINI-4B,"Conexión antitorceduras para manguera », k|z""-m|z"" (10 » 16 mm) 4",Conexión antitorceduras para manguera »,,,"k|z""-m|z"" (10 » 16 mm) 4",21,23,25,25,,True,alta,False,191,True
10037,,CORG-20,Charola de usos múltiples,Charola de usos múltiples,,,,130,160,160,160,,True,alta,False,76,True
10038,,PAZAR-5,"REGIONAL mango sin, 5 [®b ==",REGIONAL mango sin,,,5 [®b ==,94,104,114,114,,True,alta,False,291,True
10039,,PAZAC-5,"REGIONAL mango, 5 [®b ==",REGIONAL mango,,,5 [®b ==,94,104,114,114,,True,alta,False,291,True
10068,,BOAP-1/2,,,,,,,,,,,False,baja,True,,False
10069,,BOAP-3/4,,,,,,,,,,,False,baja,True,,False
10070,,BOAP-1,,,,,,,,,,,False,baja,True,,False
10077,,HIDR-1/2X24,,,,,,,,,,,False,baja,True,,False
10079,,CAT-15FF,,,,,,,,,,,False,baja,True,,False
10097,,CATA-40,"de acero para mecánico Cama/ banco de acero para mecánico, 36"", 150 kg","de acero para mecánico Cama/ banco de acero para mecánico, 36""",,,150 kg,1250,1375,1515,1515,,True,alta,False,163,True
10098,,CATA-36,"de acero para mecánico Cama/ banco de acero para mecánico, 36"", 130 kg","de acero para mecánico Cama/ banco de acero para mecánico, 36""",,,130 kg,1085,1185,1300,1300,,True,alta,False,163,True
10210,,AJ-6,,,,,,80,98,98,98,,False,media,True,33,True
10220,,REP-AJ-6,,,,,,68,75,83,83,,False,media,True,33,True
10221,,ACA-6X,,,,,,200,240,240,240,,False,media,True,33,True
10229,,REP-ACA-6X,,,,,,98,108,118,118,,False,media,True,33,True
10233,,CAT-45FF,,,,,,,,,,,False,baja,True,,False
10235,,FDO-2,"Fumigadores domésticos, 2 L (0.5 gal) 0.41 kg",Fumigadores domésticos,,,2 L (0.5 gal) 0.41 kg,125,137,152,152,,True,alta,False,194,True
10252,,CAT-50FF,,,,,,,,,,,False,baja,True,,False
10253,,CAT-55FF,,,,,,,,,,,False,baja,True,,False
10254,,AJT-21,,,,,"240 mm 630 mm 21"" (530 mm) 170 mm",215,235,255,255,,False,media,True,33,True
10255,,CAT-60FF,,,,,,,,,,,False,baja,True,,False
10256,,T-460-18BB,,,,,,,,,,,False,baja,True,,False
10257,,PAZAC-6,"REGIONAL mango, 6 [®b ==",REGIONAL mango,,,6 [®b ==,100,110,120,120,,True,alta,False,291,True
10258,,AJT-24,,,,,"230 mm 700 mm 24"" (610 mm) 185 mm",225,245,270,270,,False,media,True,33,True
10259,,GA-10R,"Gancho metálico recto reforzado con portaetiqueta, 10 (25 cm)",Gancho metálico recto reforzado con portaetiqueta,,,10 (25 cm),42,42,42,42,,True,alta,False,598,True
10260,,AJT-30,,,,,"260 mm 860 mm 30"" (760 mm) 200 mm",255,280,310,310,,False,media,True,33,True
10266,,REP-AJT-21,,,,,"'- 21"" (530 mm) -",39,47,47,47,,False,media,True,33,True
10270,,REP-AJT-24,,,,,"'- 24"" (610 mm) -",43,52,52,52,,False,media,True,33,True
10271,,REP-AJT-30,,,,,"'- 30"" (760 mm) -",52,62,62,62,,False,media,True,33,True
10303,,REG-3X,"Aspersor base metálica, 3 brazos","Aspersor base metálica, 3 brazos",,,,110,120,130,130,,True,alta,False,189,True
10312,,ASP-MAN,Aspersor base metálica tipo manguera,Aspersor base metálica tipo manguera,,,,415,455,505,505,,True,alta,False,189,True
10313,,SU-6000,,,,,,,,,,,False,baja,True,,False
10314,,SU-7500,,,,,,,,,,,False,baja,True,,False
10315,,ASP,"Aspersores metálicos, alta presión doble salida de agua, NA NA 6","Aspersores metálicos, alta presión doble salida de agua",,,NA NA 6,172,187,207,207,,True,alta,False,188,True
10316,,ASP-3/4BR,"Aspersores agrícolas, 30-90 psi 3⁄v""",Aspersores agrícolas,,,"30-90 psi 3⁄v""",305,365,365,365,,True,alta,True,188,True
10317,,ASP-1BR,"Aspersores agrícolas, 40-90 psi 1""",Aspersores agrícolas,,,"40-90 psi 1""",550,600,660,660,,True,alta,False,188,True
10318,,ASP-11,"Aspersores metálicos, alta presión doble salida de agua, 1 6","Aspersores metálicos, alta presión doble salida de agua",,,1 6,215,235,255,255,,True,alta,False,188,True
10321,,ASP-11X,"Aspersores metálicos, alta presión doble salida de agua, 6","Aspersores metálicos, alta presión doble salida de agua",,,6,219,239,262,262,,True,alta,False,188,True
10323,,ASP-11R,"Aspersores metálicos, alta presión doble salida de agua, 3","Aspersores metálicos, alta presión doble salida de agua",,,3,375,410,450,450,,True,alta,False,188,True
10324,,DOS,"doble salida de agua, NA NA",doble salida de agua,,,NA NA,125,137,152,152,,True,alta,False,188,True
10325,,REG-32,,,,,,200,220,240,240,,False,media,True,187,True
10327,,DOS-11,"doble salida de agua, 1",doble salida de agua,,,1,159,174,192,192,,True,alta,False,188,True
10328,,ASP-8,"Aspersor base de aluminio, 8 funciones","Aspersor base de aluminio, 8 funciones",,,,175,195,215,215,,True,alta,False,189,True
10329,,ASP-50,Aspersor base de acero con aspas,Aspersor base de acero con aspas,,,,165,180,200,200,,True,alta,False,189,True
10330,,DOS-11X,doble salida de agua,doble salida de agua,,,,165,180,200,200,,True,alta,False,188,True
10333,,ASP-P,"Aspersores plásticos, NA NA",Aspersores plásticos,,,NA NA,55,60,66,66,,True,alta,False,188,True
10336,,ASP-P11,"Aspersores plásticos, 1",Aspersores plásticos,,,1,89,99,109,109,,True,alta,False,188,True
