codigo_truper,codigo_barras,clave,descripcion,marca,categoria,precio_venta,existencia,datos_completos
10012,,M-20B,,,,,,False
10013,,M-10B,,,,,,False
10021,,M-4B,,,,,,False
10025,,JDTH-3/8X9,,,,,,False
10026,,JDTH-1/2X10,,,,,,False
10027,,JDTH-1/4X7,,,,,,False
10031,,MINI-6B,,,,,,False
10032,,MINI-4B,,,,,,False
10037,,CORG-20,,,,,,False
10038,,PAZAR-5,,,,,,False
10039,,PAZAC-5,,,,,,False
10068,,BOAP-1/2,,,,,,False
10069,,BOAP-3/4,,,,,,False
10070,,BOAP-1,,,,,,False
10077,,HIDR-1/2X24,,,,,,False
10079,,CAT-15FF,,,,,,False
10097,,CATA-40,,,,,,False
10098,,CATA-36,,,,,,False
10210,,AJ-6,,,,,,False
10220,,REP-AJ-6,,,,,,False
10221,,ACA-6X,,,,,,False
10229,,REP-ACA-6X,,,,,,False
10233,,CAT-45FF,,,,,,False
10235,,FDO-2,,,,,,False
10252,,CAT-50FF,,,,,,False
10253,,CAT-55FF,,,,,,False
10254,,AJT-21,,,,,,False
10255,,CAT-60FF,,,,,,False
10256,,T-460-18BB,,,,,,False
10257,,PAZAC-6,,,,,,False
10258,,AJT-24,,,,,,False
10259,,GA-10R,,,,,,False
10260,,AJT-30,,,,,,False
10266,,REP-AJT-21,,,,,,False
10270,,REP-AJT-24,,,,,,False
10271,,REP-AJT-30,,,,,,False
10303,,REG-3X,,,,,,False
10312,,ASP-MAN,,,,,,False
10313,,SU-6000,,,,,,False
10314,,SU-7500,,,,,,False
10315,,ASP,,,,,,False
10316,,ASP-3/4BR,,,,,,False
10317,,ASP-1BR,,,,,,False
10318,,ASP-11,,,,,,False
10321,,ASP-11X,,,,,,False
10323,,ASP-11R,,,,,,False
10324,,DOS,,,,,,False
10325,,REG-32,,,,,,False
10327,,DOS-11,,,,,,False
10328,,ASP-8,,,,,,False
10329,,ASP-50,,,,,,False
10330,,DOS-11X,,,,,,False
10333,,ASP-P,,,,,,False
10336,,ASP-P11,,,,,,False
10339,,ASP-P11X,,,,,,False
10351,,SAPO-1,,,,,,False
10359,,ACE-20,,,,,,False
10361,,ACE-25,,,,,,False
10362,,ACE-30,,,,,,False
10363,,OSCI-17,,,,,,False
10364,,ACE-35,,,,,,False
10366,,EST-8,,,,,,False
10372,,AD-2,,,,,,False
10375,,AD-2X,,,,,,False
10378,,M-FLEX,,,,,,False
10380,,CHP-20X,,,,,,False
10381,,EMP-MA10,,,,,,False
10387,,GAN-MA,,,,,,False
10388,,CAMAI-15,,,,,,False
10390,,PORMA-50,"Portamanguera de pared, TRUPER",TRUPER,Mangueras para jardín en combo | Portamangueras,,,True
10400,,MUT-830,"Multímetro digital escolar, TRUPER",TRUPER,"Multímetros digitales, medidor láser de temperatura y detector de materiales",,,True
10401,,MUT-33,"Multímetro digital junior, TRUPER",TRUPER,"Multímetros digitales, medidor láser de temperatura y detector de materiales",,,True
10402,,MUT-39,,,,,,False
10403,,MUT-105,,,,,,False
10404,,MUT-202,,,,,,False
10440,,CAR-KID-T,,,,,,False
10493,,INCO-CAB,,,,,,False
10494,,DTROM-12B,,,,,,False
10495,,ESTD-24,,,,,,False
10496,,ESTD-25,,,,,,False
10497,,ESTD-26,,,,,,False
10498,,ESTD-27,,,,,,False
