codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
0010,,,Limpieza Guantes de látex 100% natural Protección química Guantes de látexneopreno para limpieza,,,,338,baja,True,False
0020,,Termocople soldable,Termocople soldable,,,,495,baja,True,False
0111,Níquelsatinado96mm,"Jaladeras metálicas línea Contempo, satinado 96 mm",Jaladeras metálicas línea Contempo,satinado 96 mm,,33,584,baja,True,False
0112,Níquelsatinado128mm,"Jaladeras metálicas línea Contempo, satinado 128 mm",Jaladeras metálicas línea Contempo,satinado 128 mm,,46,584,baja,True,False
0121,Latónbrillante,"Jaladeras metálicas línea Contempo, brillante 96 mm",Jaladeras metálicas línea Contempo,brillante 96 mm,,33,584,baja,True,False
0122,Latónbrillante,"Jaladeras metálicas línea Contempo, brillante 128 mm",Jaladeras metálicas línea Contempo,brillante 128 mm,,46,584,baja,True,False
0161,Negromate,"Jaladeras metálicas línea Contempo, mate 96 mm",Jaladeras metálicas línea Contempo,mate 96 mm,,33,584,baja,True,False
0162,Negromate,"Jaladeras metálicas línea Contempo, mate 128 mm",Jaladeras metálicas línea Contempo,mate 128 mm,,46,584,baja,True,False
0211,Níquelsatinado96mm,"Jaladeras metálicas línea Arco, satinado 96 mm",Jaladeras metálicas línea Arco,satinado 96 mm,,29,584,baja,True,False
0212,Níquelsatinado128mm,"Jaladeras metálicas línea Arco, satinado 128 mm",Jaladeras metálicas línea Arco,satinado 128 mm,,36,584,baja,True,False
0221,Latónbrillante,"Jaladeras metálicas línea Arco, brillante 96 mm",Jaladeras metálicas línea Arco,brillante 96 mm,,29,584,baja,True,False
0222,Latónbrillante,"Jaladeras metálicas línea Arco, brillante 128 mm",Jaladeras metálicas línea Arco,brillante 128 mm,,36,584,baja,True,False
0261,Negromate,"Jaladeras metálicas línea Arco, mate 96 mm",Jaladeras metálicas línea Arco,mate 96 mm,,29,584,baja,True,False
0262,Negromate,"Jaladeras metálicas línea Arco, mate 128 mm",Jaladeras metálicas línea Arco,mate 128 mm,,36,584,baja,True,False
0311,Níquelsatinado96mm,"Jaladeras de acero línea Cilindro, satinado 96 mm",Jaladeras de acero línea Cilindro,satinado 96 mm,,38,584,baja,True,False
0312,Níquelsatinado128mm,"Jaladeras de acero línea Cilindro, satinado 128 mm",Jaladeras de acero línea Cilindro,satinado 128 mm,,42,584,baja,True,False
0313,Níquelsatinado160mm,"Jaladeras de acero línea Cilindro, satinado 160 mm",Jaladeras de acero línea Cilindro,satinado 160 mm,,46,584,baja,True,False
0314,Níquelsatinado192mm,"Jaladeras de acero línea Cilindro, satinado 192 mm",Jaladeras de acero línea Cilindro,satinado 192 mm,,51,584,baja,True,False
0321,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 96 mm",Jaladeras de acero línea Cilindro,brillante 96 mm,,38,584,baja,True,False
0322,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 128 mm",Jaladeras de acero línea Cilindro,brillante 128 mm,,42,584,baja,True,False
0323,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 160 mm",Jaladeras de acero línea Cilindro,brillante 160 mm,,46,584,baja,True,False
0324,Latónbrillante,"Jaladeras de acero línea Cilindro, brillante 192 mm",Jaladeras de acero línea Cilindro,brillante 192 mm,,51,584,baja,True,False
0361,Negromate,"Jaladeras de acero línea Cilindro, mate 96 mm",Jaladeras de acero línea Cilindro,mate 96 mm,,38,584,baja,True,False
0362,Negromate,"Jaladeras de acero línea Cilindro, mate 128 mm",Jaladeras de acero línea Cilindro,mate 128 mm,,42,584,baja,True,False
0363,Negromate,"Jaladeras de acero línea Cilindro, mate 160 mm",Jaladeras de acero línea Cilindro,mate 160 mm,,46,584,baja,True,False
0364,Negromate,"Jaladeras de acero línea Cilindro, mate 192 mm",Jaladeras de acero línea Cilindro,mate 192 mm,,51,584,baja,True,False
0421,Latónbrillante,"Jaladeras metálicas línea Barroca, brillante a` ==",Jaladeras metálicas línea Barroca,brillante a` ==,,34,585,baja,True,False
0431,Latónantiguo,"Jaladeras metálicas línea Barroca, antiguo a` ==",Jaladeras metálicas línea Barroca,antiguo a` ==,,34,585,baja,True,False
0510,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0512,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0515,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0518,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0521,Latónbrillante,"Jaladeras metálicas línea Colonial, brillante a` ==",Jaladeras metálicas línea Colonial,brillante a` ==,,34,585,baja,True,False
0522,a®bY,"Paquetes con 5 discos de lija 5"" , ciegos","Paquetes con 5 discos de lija 5"" , ciegos",,,47,196,baja,True,False
0531,Latónantiguo,"Jaladeras metálicas línea Colonial, antiguo a` ==",Jaladeras metálicas línea Colonial,antiguo a` ==,,34,585,baja,True,False
0610,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0612,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0615,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
0618,[[®bY,"Paquetes con 5 discos de lija 6"" , ciegos","Paquetes con 5 discos de lija 6"" , ciegos",,,72,196,baja,True,False
