codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
10012,,M-20B,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10025,,JDTH-3/8X9,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10026,,JDTH-1/2X10,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10027,,JDTH-1/4X7,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10068,,BOAP-1/2,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10069,,BOAP-3/4,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10070,,BOAP-1,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10077,,HIDR-1/2X24,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10079,,CAT-15FF,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10210,,AJ-6,,,,,,80,98,98,98,,False,media,True,33,True,descripcion_ambigua;extraccion_ambigua
10220,,REP-AJ-6,,,,,,68,75,83,83,,False,media,True,33,True,descripcion_ambigua;extraccion_ambigua
10221,,ACA-6X,,,,,,200,240,240,240,,False,media,True,33,True,descripcion_ambigua;extraccion_ambigua
10229,,REP-ACA-6X,,,,,,98,108,118,118,,False,media,True,33,True,descripcion_ambigua;extraccion_ambigua
10233,,CAT-45FF,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10252,,CAT-50FF,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10253,,CAT-55FF,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
10254,,AJT-21,,,,,"240 mm 630 mm 21"" (530 mm) 170 mm",215,235,255,255,,False,media,True,33,True,descripcion_ambigua;extraccion_ambigua
10255,,CAT-60FF,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
