codigo,codigo_barras,clave,descripcion,marca,categoria
60136,,DOM-TR,Dominó TRUPER,TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
60445,,CUBI-T,Cubilete TRUPER,TRUPER,"Artículos promocionales / Silla, toldo, parasol, paraguas, balones, barajas, dominó, relojes y cordón portagafete"
55565,,EXT-BAV,Exhibidor TRUPER de brocas de alta velocidad,TRUPER,Muestrarios para identificar medidas
55564,,EXT-BCT,Exhibidor TRUPER de brocas de concreto,TRUPER,Muestrarios para identificar medidas
55566,,EXT-CARB,Exhibidor TRUPER de carbones de repuesto,TRUPER,Muestrarios para identificar medidas
55559,,EXT-LA,Exhibidor TRUPER de lijas de agua,TRUPER,Muestrarios para identificar medidas
55560,,EXT-LM,Exhibidor TRUPER de lijas de madera,TRUPER,Muestrarios para identificar medidas
55561,,EXT-MAN,"Exhibidor TRUPER de mangueras para jardín, nivel y gas",TRUPER,Muestrarios para identificar medidas
68093,,CATA-26D,Catálogo TRUPER 2026 Precio Distribuidor,TRUPER,Artículos promocionales y para tienda
68096,,CATA-26P,Catálogo TRUPER 2026 Precio Público,TRUPER,Artículos promocionales y para tienda
