codigo_truper,pagina_catalogo,clave_ground_truth,descripcion_ground_truth,marca_ground_truth,anterior_clave,anterior_clave_exacta,anterior_descripcion,anterior_descripcion_exacta,anterior_descripcion_normalizada,anterior_descripcion_similitud,anterior_descripcion_similar,anterior_marca,anterior_precio_publico,anterior_confianza,anterior_clave_confianza,anterior_revision,nuevo_clave,nuevo_clave_exacta,nuevo_descripcion,nuevo_descripcion_exacta,nuevo_descripcion_normalizada,nuevo_descripcion_similitud,nuevo_descripcion_similar,nuevo_marca,nuevo_precio_publico,nuevo_confianza,nuevo_clave_confianza,nuevo_revision
100893,239,MADE-20NX,"Martillo demoledor HEX 20 kg, 55J, 1600W, TRUPER EXPERT",TRUPER EXPERT,MADE-20NX,true,"Martillo de demolición, Hex, 55 Joules",false,false,0.6216,true,,15150,alta,ALTA,false,MADE-20NX,true,"Martillo de demolición, Hex, 55 Joules",false,false,0.6216,true,,15150,alta,ALTA,false
100894,239,MADE-30NX,"Martillo demoledor HEX 30 kg, 62J, 2000W, TRUPER EXPERT",TRUPER EXPERT,MADE-30NX,true,"Martillo de demolición, Hex, 62 Joules",false,false,0.6216,true,,30500,alta,ALTA,false,MADE-30NX,true,"Martillo de demolición, Hex, 62 Joules",false,false,0.6216,true,,30500,alta,ALTA,false
102530,328,RES-600,"Respirador de cara completa, reutilizable, TRUPER EXPERT",TRUPER EXPERT,RES-600,true,Respirador profesional de cara completa,false,false,0.6835,true,TRUPER,1800,alta,ALTA,false,RES-600,true,Respirador profesional de cara completa,false,false,0.6835,true,TRUPER,1800,alta,ALTA,false
12064,111,RE-PIPI-340X,"Repuestos de pistolas para pintar, PIPI-340X, TRUPER EXPERT",TRUPER EXPERT,RE-PIPI-340X,true,"Refacciones para pistola para pintar, 6 36",false,false,0.6667,true,,525,alta,ALTA,false,RE-PIPI-340X,true,"Refacciones para pistola para pintar, 6 36",false,false,0.6667,true,,525,alta,ALTA,false
13730,328,KIT-RES-MU,"Kit respirador con cartuchos multigas, TRUPER EXPERT",TRUPER EXPERT,KIT-RES-MU,true,"Respiradores media cara, sin cartuchos Respiradores profesionales media cara",false,false,0.4464,false,TRUPER,870,alta,ALTA,false,KIT-RES-MU,true,"Respiradores media cara, sin cartuchos Respiradores profesionales media cara",false,false,0.4464,false,TRUPER,870,alta,ALTA,false
13732,328,RES-X,"Respirador profesional media cara, TRUPER EXPERT",TRUPER EXPERT,RES-X,true,"Respiradores media cara, sin cartuchos Respiradores profesionales media cara",false,false,0.6111,true,TRUPER,152,alta,ALTA,false,RES-X,true,"Respiradores media cara, sin cartuchos Respiradores profesionales media cara",false,false,0.6111,true,TRUPER,680,alta,ALTA,false
16374,206,LT-34X,"Lona uso rudo 3 x 4 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,LT-34X,true,,false,false,0.0000,false,,440,media,ALTA,true,LT-34X,true,,false,false,0.0000,false,,440,media,ALTA,true
16375,206,LT-45X,"Lona uso rudo 4 x 5 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,LT-45X,true,,false,false,0.0000,false,,729,media,ALTA,true,LT-45X,true,,false,false,0.0000,false,,729,media,ALTA,true
16380,206,LT-1217X,"Lona uso rudo 12x17 m, verde olivo, 240 g/m2, TRUPER EXPERT",TRUPER EXPERT,39d,false,,false,false,0.0000,false,,6750,baja,BAJA,true,LT-1217X,true,,false,false,0.0000,false,,6750,media,ALTA,true
17936,111,VASO-340X,"Vaso aluminio de repuesto para PIPI-340X, TRUPER EXPERT",TRUPER EXPERT,VASO-340X,true,"Refacciones para pistola para pintar, 1 20",false,false,0.3951,false,,790,alta,ALTA,false,VASO-340X,true,"Refacciones para pistola para pintar, 1 20",false,false,0.3951,false,,790,alta,ALTA,false
